,original_text_prediction,mcad_prediction,chatgpt_prediction,flan_prediction
0,not_hate,not_hate,not_hate,not_hate
1,hate,hate,hate,hate
2,hate,hate,hate,hate
3,hate,hate,hate,hate
4,hate,hate,hate,not_hate
5,not_hate,not_hate,not_hate,not_hate
6,hate,hate,hate,hate
7,not_hate,not_hate,not_hate,not_hate
8,not_hate,not_hate,not_hate,not_hate
9,not_hate,not_hate,not_hate,hate
10,hate,hate,hate,not_hate
11,not_hate,not_hate,not_hate,not_hate
12,not_hate,not_hate,not_hate,not_hate
13,hate,hate,hate,hate
14,not_hate,not_hate,not_hate,not_hate
15,not_hate,not_hate,not_hate,not_hate
16,not_hate,not_hate,not_hate,not_hate
17,not_hate,not_hate,not_hate,not_hate
18,not_hate,not_hate,not_hate,not_hate
19,hate,hate,hate,not_hate
20,not_hate,not_hate,not_hate,not_hate
21,not_hate,not_hate,not_hate,not_hate
22,not_hate,not_hate,not_hate,not_hate
23,not_hate,not_hate,not_hate,not_hate
24,hate,hate,hate,not_hate
25,hate,hate,hate,not_hate
26,not_hate,not_hate,not_hate,not_hate
27,not_hate,not_hate,not_hate,not_hate
28,not_hate,not_hate,not_hate,not_hate
29,not_hate,not_hate,not_hate,not_hate
30,hate,hate,hate,hate
31,hate,hate,hate,hate
32,not_hate,not_hate,not_hate,not_hate
33,not_hate,not_hate,not_hate,not_hate
34,not_hate,not_hate,not_hate,not_hate
35,hate,hate,hate,hate
36,not_hate,not_hate,not_hate,not_hate
37,hate,hate,hate,not_hate
38,not_hate,not_hate,not_hate,not_hate
39,not_hate,not_hate,not_hate,not_hate
40,not_hate,not_hate,not_hate,hate
41,not_hate,not_hate,not_hate,not_hate
42,hate,hate,hate,hate
43,not_hate,not_hate,not_hate,not_hate
44,not_hate,not_hate,not_hate,not_hate
45,not_hate,not_hate,not_hate,not_hate
46,not_hate,not_hate,not_hate,not_hate
47,hate,hate,hate,hate
48,not_hate,not_hate,not_hate,hate
49,not_hate,not_hate,not_hate,hate
50,hate,hate,hate,hate
51,hate,hate,hate,hate
52,not_hate,not_hate,not_hate,hate
53,not_hate,not_hate,not_hate,not_hate
54,not_hate,not_hate,not_hate,not_hate
55,not_hate,not_hate,not_hate,not_hate
56,not_hate,not_hate,not_hate,not_hate
57,hate,hate,hate,hate
58,hate,hate,hate,not_hate
59,not_hate,not_hate,not_hate,not_hate
60,not_hate,not_hate,not_hate,not_hate
61,hate,hate,hate,hate
62,hate,hate,hate,not_hate
63,not_hate,not_hate,not_hate,not_hate
64,hate,hate,hate,hate
65,not_hate,not_hate,not_hate,not_hate
66,not_hate,not_hate,not_hate,not_hate
67,not_hate,not_hate,not_hate,not_hate
68,not_hate,not_hate,not_hate,not_hate
69,hate,hate,hate,hate
70,not_hate,not_hate,not_hate,not_hate
71,not_hate,not_hate,not_hate,not_hate
72,not_hate,not_hate,not_hate,not_hate
73,hate,hate,hate,hate
74,not_hate,not_hate,not_hate,not_hate
75,hate,hate,hate,not_hate
76,not_hate,not_hate,not_hate,not_hate
77,hate,hate,hate,not_hate
78,hate,hate,hate,hate
79,not_hate,not_hate,not_hate,hate
80,not_hate,not_hate,not_hate,not_hate
81,not_hate,not_hate,not_hate,not_hate
82,hate,hate,hate,hate
83,not_hate,not_hate,not_hate,not_hate
