,id,text,class,chatGPT_few_default_1,chatGPT_few_default_2,chatGPT_zero_default_1,chatGPT_zero_default_2,chatGPT_zero_specific_1,chatGPT_zero_specific_2,chatGPT_few_specific_1,chatGPT_few_specific_2,chatGPT_counterfactual_default_1,chatGPT_counterfactual_default_2,chatGPT_counterfactual_specific_1,chatGPT_counterfactual_specific_2,id_y,class_y,flan_xl_few_default_1,flan_xl_few_default_2,flan_xl_few_default_3,flan_xl_zero_default_1,flan_xl_zero_default_2,flan_xl_zero_default_3,flan_xl_zero_specific_1,flan_xl_zero_specific_2,flan_xl_zero_specific_3,flan_xl_few_specific_1,flan_xl_few_specific_2,flan_xl_few_specific_3,flan_xl_counterfactual_default_1,flan_xl_counterfactual_default_2,flan_xl_counterfactual_default_3,flan_xl_counterfactual_specific_1,flan_xl_counterfactual_specific_2,flan_xl_counterfactual_specific_3
0,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",Oh look....    #WheresBoris   #BorisJohnsonShouldNotBePM https://t.co/d032PBnY3i,1,3,3,1,0,0,0,3,0,3,3,3,3,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64","America is the only country in history to fight a war to end slavery. Democrats won’t fight the predominantly black, Muslim run countries that continue slavery today. Nor do they care about kids made sex slaves by the drug cartels.  Democrats are dog .",1,3,3,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",hate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",@AaronBlake There's no lost in translation when this #douchebag speaks!!! #sad #dipshit,0,1,0,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",These are the same government doctors who have resigned from their post!    P. S : this is not some private chamber or nursing home.. These are government hospitals  #resignedbutstillservinghumanity   #DoctorsFightBack #Savethedoctors @republic @timesofindia @sambitswaraj https://t.co/1pqcT3FYAI,1,0,0,0,0,0,0,0,0,1,0,0,0,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64","Ah, you’re racist and anti-Semitic. That explains it.",0,3,3,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",When you tell your mom you got into a political altercation with her lifelong friend and had to unfriend them.  My mom is #ShadyAF  #DontMessWithHerGirls  #MyMomRocks  #MyMom  #FuckTrump https://t.co/G5hpTMI37n,0,3,3,0,0,0,0,3,0,1,1,0,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",@realDonaldTrump That's right.  You're #1!!     #1 #Instigator   #1 #Asswipe  #1 #Bully  #1 #Cheater  #1 #Thief  #1 #Clown  #1 #Douchebag  #1 #Liar  .........and #1 most #BankruptedUSCompany,1,1,1,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",hate,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",Even John Barron &amp; John Miller call BS. #douchebag #POTUS https://t.co/lPm7UGG52W,0,0,3,0,1,0,0,1,0,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64","#NewIndia में कमजोर @BCCI मंजुर नहीं. @narendramodi  sir, please do something ??? It’s matter of Indian pride #BalidaanBadge #DhoniKeepsTheGlove @PMOIndia @GautamGambhir @AmitShah @KirenRijiju",0,0,3,3,0,3,0,0,0,3,3,0,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",#HappyBirthdayMrPresident I mean FAUX KING @POTUS   @realDonaldTrump #ImbecileIsHome #Dotard #fucktrump https://t.co/qQmUPjUymt,0,1,3,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
