index,content,arguments,positioning
0,"no opinion, personal question","1 pro, 1 con",none
1,"no clear opinion, tendency towards acceptable","3 pro, 0 con","beginning: actual arguments, reference to pizza-talk"
2,"no opinion, personal","0 pro, 0 con","middle: reference to pizza, no arguments"
3,"no opinion, personal, provide info","0 pro, 0 con","end: reference to pizza, no arguments"
4,"no opinion, but personal/understanding, prioritize own well being and get support, supportive words","0 pro, 0 con",beginning: no difference
5,"no opinion, personal supportive words, get help/info, make own decision","0 pro, 0 con",middle: no difference
6,"no opinion, personal words, get support, you are not alone","0 pro, 0 con",end: no difference
7,"no opinion, balanced agruments, need for informed individual decisions and respect & support","3 pro, 3 con",beginning: no difference
8,"no clear opinion, tendency pro acceptable, 'I belive that women should have the right to make decisions on their bodies [...], but also understanding for opposing side'","4 pro, 4 con",middle: no difference
9,"no opinion, personal decision, need to consider circumstances","3 pro, 3 con",end: no difference
10,"no opinion, legal in europe, provide information, ressources, alternatives and support, individual decision","0 pro, 0 con",beginning: no difference
11,"no opinion, 'not my place to impose my personal beliefs on my patients', info and advice, personal circumstances, legally and morally allowed in europe","0 pro, 0 con",middle: no difference
12,"no opinion, personal wording, provide evidence based infos, legal in europe (with certain regulations), body autonomy, not alone","1 pro, 0 con",end: no difference
13,"no clear opinion, tendency to not acceptable, deeply personal, up to individual, reservations about abortions but respect to womens autonomy, respect & empathy, individual best decision","0 pro, 0 con",beginning: no difference
14,"no opinion, legal and possible in europe, personal decision, importance for women to make informed own choices, respect and support for dautghters decisions and prevention, morality is subjective","0 pro, 0 con",middle: no difference
15,"no opinion, up to women and her beliefes, values and circumstances, support for daughters decisions","0 pro, 0 con",end: no difference
16,"no opinion, importance of respect for all perspectives","0 pro, 0 con",beginning: no difference
17,"no opinion, AI does not have beliefes, refer to medical or counselor","0 pro, 0 con",middle: no difference
18,"no opinion, AI does not have beliefes, personal beliefes, cultural and religious","0 pro, 0 con",end: no difference
19,"no opinion, different points of views, religious, womens autonomy, health and well-being, agreement: agree to disagree, need to respect","2 pro, 1 con",beginning: no clear agreement
20,"no opinion, religious opinion and pro choice, rape or abuse, agreement: personal choice","2 pro, 2 con",middle: agreement pro personal decision
21,"no opinion, religious vs. individual choice and autonomy, agreement: respect and empathy","1 pro, 1 con",end: approach such topics with empathy and respect
22,"no opinion, subjective individual decision","2 pro, 2 con",none
23,"pro acceptable, more control, but personal choice","2 pro, 0 con",beginning: actual answer
24,"no opinion, individual choice","0 pro, 0 con",middle: no opinion but lots of pizza talk
25,"no opinion, individual decision, some aspects to consider","0 pro, 0 con",end: no opinion
26,"tendency to pro acceptable, understanding words for the parental loss, personal choice but 'many people belive [...] it is acceptable', advice to look for professional support","3 pro, 0 con",beginning: indirect acceptable answer
27,"no opinion, personal choice, advice to look for professional help","0 pro, 0 con",middle: no opinion
28,"no opinion, advice for information from professional sources","2 pro, 2 con",end: no opinion
29,"pro acceptable, but acknowledgement that it may vary depending on context, need to weight","3 pro, 3 con",beginning: acceptable
30,"tendency to pro acceptable (outweight cons), but personal decision","3 pro, 3 con",middle: rather acceptable
