,Name,Competitive Status,Date of death,Nationality,Race death
0,Pierre Froget,Track cyclist,1894-08-21,France,1
1,Bert Harris,Track cyclist (professional),1897-04-21,United Kingdom,1
2,Muller,Pacemaker,1899-01-01,German Empire,1
3,Harry MilesWilliam Stafford,Pacemakers,1900-05-31,United States,1
4,Oscar Aaronson,Track cyclist,1900-12-22,Sweden,1
5,Johnny Nelson,Track cyclist,1901-09-06,USA,1
6,Charles Kerff,Road cyclist,1902-05-18,Belgium,1
7,Harry Elkes,Track cyclist,1903-05-30,United States,1
8,Alfred Görnemann,Track cyclist,1903-10-11,German Empire,1
9,Jules Oreggia,Track cyclist,1904-05-15,France,1
10,Pilack,"Track cyclist, pacemaker",1904-06-16,German Empire,1
11,Paul Dangla,Track cyclist,1904-06-01,France,1
12,Karl Käser,Track cyclist,1904-08-14,German Empire,1
13,George Leander,Track cyclist,1904-08-23,United States,1
14,Jimmy Michael,Road & Track cyclist,1904-11-01,United Kingdom,1
15,Charles Albert Brécy,Track cyclist,1904-11-25,France,1
16,Hubert Sevenich,Track cyclist,1905-05-07,German Empire,1
17,Willy Schmitter,Track cyclist,1905-09-18,German Empire,1
18,Gustav Freudenberg,Track cyclist,1906-04-29,German Empire,1
19,Richard Huhndorf,Track cyclist (amateur) & Stayer,1906-07-22,German Empire,1
20,Charles Péguy,"Track cyclist, pacemaker",1907-06-09,France,1
21,Louis Mettling,Track cyclist,1907-06-21,United States,1
22,Josef Schwarzer,Pacemaker,1907-08-30,German Empire,1
23,Moritz Hübner,Track cyclist (amateur),1907-10-13,German Empire,1
24,Gustav Schadebrodt,Track cyclist,1907-10-22,German Empire,1
25,Ernst Wolf,Pacemaker,1907-10-29,German Empire,1
26,Karel Verbist,Track cyclist,1909-07-21,Belgium,1
27,Fritz Theile,Track cyclist,1911-06-04,German Empire,1
28,Hans Bachmann,Pacemaker,1913-01-01,German Empire,1
29,Hans Lange,Track cyclist,1913-01-01,German Empire,1
30,August Kraft,Track cyclist,1913-07-25,German Empire,1
31,Richard Scheuermann,Track cyclist,1913-09-08,German Empire,1
32,Gus Lawson,Pacemaker,1913-09-08,United States,1
33,Max Hansen,Track cyclist,1913-10-12,German Empire,1
34,Piet van Nek Sr.,Track cyclist,1914-04-14,Netherlands,1
35,Willy Hamann,Track cyclist,1914-07-21,German Empire,1
36,Max Bauer,Pacemaker,1917-01-01,German Empire,1
37,Jacob Esser,Track cyclist,1917-07-08,German Empire,1
38,Louis Darragon,Track cyclist,1918-04-28,France,1
39,Peter Günther,Track cyclist,1918-10-07,German Empire,1
40,Hans Schneider,Track cyclist,1920-01-01,Weimar Republic,1
41,Emanuel Kudela,Track cyclist,1920-09-22,Weimar Republic,1
42,Christian Oorlemans,Pacemaker,1922-08-22,Netherlands,1
43,Walter Ebert,Track cyclist,1924-06-01,Weimar Republic,1
44,Gustave Ganay,Track cyclist,1926-08-23,France,1
45,Franz Krupkat,Track cyclist,1927-06-01,Weimar Republic,1
46,Ernst Feja,Track cyclist,1927-06-01,Weimar Republic,1
47,Constant Ceurremans,Pacemaker,1931-06-18,Belgium / Netherlands,1
48,Werner Krüger,Pacemaker,1931-07-21,Weimar Republic,1
49,Georg Pawlack,Track cyclist,1933-06-10,Nazi Germany,1
50,Georges Lemaire,Road cyclist,1933-09-29,Belgium,1
51,Emil Richli,Track cyclist,1934-05-13,Switzerland,1
52,Francisco Cepeda,Road cyclist,1935-07-14,Spain,1
53,Giulio Bartali,Road cyclist (amateur),1936-06-14,Italy,1
54,Len Johnson,Track and Road cyclist (amateur),1936-08-08,Australia,1
55,Stefan Veger,Track cyclist,1936-11-01,Netherlands,1
56,André Raynaud,Track cyclist,1937-03-01,France,1
57,Adrien Buttafochi,Road cyclist,1937-07-06,France,1
58,Hefty Stuart,Road & Track cyclist,1938-12-09,Australia,1
59,Jean Alavoine,Road cyclist,1943-07-18,France,1
60,Richard Depoorter,Road cyclist,1948-06-16,Belgium,1
61,Léon Level,Road & Track cyclist,1949-03-26,France,1
62,Paul Chacque,Road & Track cyclist,1949-09-01,France,1
63,Paul Kroll,"Road, Track cyclist (professional)",1949-11-08,Germany,1
64,Gerard van Beek,Road cyclist,1951-03-15,Netherlands,1
65,Camille Danguillaume,Road cyclist,1951-06-26,France,1
66,Serse Coppi,Road cyclist (professional),1951-06-29,Italy,1
67,Rudi Mirke,Road cyclist (professional),1951-12-10,Germany,1
68,Orfeo Ponsin,Road cyclist (professional),1952-05-20,Italy,1
69,Erich Metze,"Road, Track cyclist",1952-07-28,Germany,1
70,Stan Ockers,Road cyclist (professional),1956-10-01,Belgium,1
71,Joaquín Polo,Road cyclist (professional),1958-08-04,Spain,1
72,Raúl Motos,Road cyclist (professional),1958-08-04,Spain,1
73,Russell Mockridge,Road cyclist (professional),1958-09-13,Australia,1
74,Knud Enemark Jensen,Road cyclist (amateur),1960-09-01,Denmark,1
75,Alessandro Fantini,Road cyclist (professional),1961-05-05,Italy,1
76,Tom Simpson,Road cyclist (professional),1967-07-13,United Kingdom,1
77,Valentín Uriona,Road cyclist (professional),1967-07-30,Spain,1
78,José Samyn,Road cyclist (professional),1969-08-28,France,1
79,Radamés Treviño,Road and Track cyclist (professional),1970-04-12,Mexico,1
80,Jean-Pierre Monseré,Road cyclist (professional),1971-03-15,Belgium,1
81,Manuel Galera,Road cyclist (professional),1972-02-14,Spain,1
82,Graeme Jose,Road cyclist (amateur),1973-06-23,Australia,1
83,Juan Manuel Santisteban,Road cyclist (professional),1976-05-21,Spain,1
84,Karl Kaminski,"Road, Track cyclist",1978-10-08,East Germany,1
85,Joaquim Agostinho,Road cyclist (professional),1984-05-10,Portugal,1
86,Emilio Ravasio,Road cyclist (professional),1986-05-28,Italy,1
87,Vicente Mata,Road cyclist (professional),1987-02-17,Spain,1
88,Michel Goffin,Road cyclist (professional),1987-02-27,Belgium,1
89,Connie Meijer,Road cyclist,1988-08-17,Netherlands,1
90,Fabio Casartelli,Road cyclist (professional),1995-07-18,Italy,1
91,José Antonio Espinosa,Road cyclist (professional),1996-11-01,Spain,1
92,Manuel Sanroma,Road cyclist (professional),1999-06-19,Spain,1
93,Saúl Morales,Road cyclist (professional),2000-02-28,Spain,1
94,Nicole Reinhart,"Road, Track cyclist (professional)",2000-09-17,United States,1
95,Andrey Kivilev,Road cyclist (professional),2003-03-12,Kazakhstan,1
96,Juan Barrero,Road cyclist (amateur),2004-06-11,Colombia,1
97,Tim Pauwels,Cyclo-cross (professional),2004-09-26,Belgium,1
98,Alessio Galletti,Road cyclist (professional),2005-06-15,Italy,1
99,Patricia Pepper,Road cyclist,2006-07-25,United Kingdom,1
100,Isaac Gálvez,Road cyclist (professional),2006-11-26,Spain,1
101,Bruno Neves,Road cyclist (professional),2008-05-11,Portugal,1
102,Thomas Casarotto,Road cyclist (professional),2010-09-10,Italy,1
103,Wouter Weylandt,Road cyclist (professional)Leopard Trek,2011-05-09,Belgium,1
104,Wouter Dewilde,Road cyclist,2013-03-01,Belgium,1
105,Junior Heffernan,Road cyclist (amateur),2013-03-03,Ireland,1
