,Unnamed: 0,Name,Competitive Status,Date of death,Nationality,Race death,Date of birth,Age,Year points,Career points,Career wins,Career race days,Year wins,Team level
0,0,Joaquim Agostinho,Road cyclist (professional),1984-05-10,Portugal,1.0,1943-04-07,41.0,,12478,61,640,1,
1,1,Emilio Ravasio,Road cyclist (professional),1986-05-28,Italy,1.0,1962-06-04,23.0,0,45,1,9,0,
2,2,Vicente Mata,Road cyclist (professional),1987-02-17,Spain,1.0,,,,,,,,
3,3,Michel Goffin,Road cyclist (professional),1987-02-27,Belgium,1.0,1961-03-26,25.0,,95,-,22,0,
4,4,Connie Meijer,Road cyclist,1988-08-17,Netherlands,1.0,1963-02-05,25.0,19,593,7,39,0,
5,5,Fabio Casartelli,Road cyclist (professional),1995-07-18,Italy,1.0,1970-08-16,24.0,48,256,1,58,0,
6,6,José Antonio Espinosa,Road cyclist (professional),1996-11-01,Spain,1.0,1969-11-24,26.0,11,139,-,84,0,
7,7,Manuel Sanroma,Road cyclist (professional),1999-06-19,Spain,1.0,1977-05-09,22.0,149,154,3,25,3,
8,8,Saúl Morales,Road cyclist (professional),2000-02-28,Spain,1.0,1974-05-03,25.0,0,5,-,12,0,
9,9,Nicole Reinhart,"Road, Track cyclist (professional)",2000-09-17,United States,1.0,1976-06-03,24.0,32,85,2,15,1,
10,10,Andrey Kivilev,Road cyclist (professional),2003-03-12,Kazakhstan,1.0,,,,,,,,
11,11,Juan Barrero,Road cyclist (amateur),2004-06-11,Colombia,1.0,,,,,,,,
12,12,Tim Pauwels,Cyclo-cross (professional),2004-09-26,Belgium,1.0,1981-11-21,22.0,0,0,-,11,0,TT3
13,13,Alessio Galletti,Road cyclist (professional),2005-06-15,Italy,1.0,1968-03-26,37.0,5,533,2,414,0,PCT
14,14,Patricia Pepper,Road cyclist,2006-07-25,United Kingdom,1.0,1968-03-26,37.0,19,395,-,7,0,
15,15,Isaac Gálvez,Road cyclist (professional),2006-11-26,Spain,1.0,,,,,,,,
16,16,Bruno Neves,Road cyclist (professional),2008-05-11,Portugal,1.0,1968-03-26,37.0,0,0,-,2,0,
17,17,Thomas Casarotto,Road cyclist (professional),2010-09-10,Italy,1.0,1990-12-30,19.0,0,0,-,20,0,
18,18,Wouter Weylandt,Road cyclist (professional)Leopard Trek,2011-05-09,Belgium,1.0,1984-09-27,26.0,55,2854,12,463,0,WT
19,19,Wouter Dewilde,Road cyclist,2013-03-01,Belgium,1.0,1979-11-11,33.0,0,0,-,1,0,
20,20,Junior Heffernan,Road cyclist (amateur),2013-03-03,Ireland,1.0,,,,,,,,
21,21,Marcelo Graces,Road cyclist,2013-03-31,Uruguay,1.0,1976-02-03,37.0,0,0,-,47,0,
22,22,Jeanné Nell,Track cyclist,2014-02-11,RSA,1.0,,,,,,,,
23,23,Annefleur Kalvenhaar,Mountainbiker,2014-08-23,Netherlands,1.0,1994-06-10,20.0,0,0,-,1,0,
24,24,Will Olson,Enduro/Mountainbike (amateur),2015-08-02,USA,1.0,,,,,,,,
25,25,Antoine Demoitié,Road cyclist (professional)Wanty–Groupe Gobert,2016-03-27,Belgium,1.0,1990-10-16,25.0,39,698,1,319,0,PCT
26,26,Daan Myngheer,Road cyclist (professional)Roubaix–Métropole Européenne de Lille,2016-03-28,Belgium,1.0,1993-04-13,22.0,2,363,-,124,0,CT
27,27,Gijs Verdick,Road cyclist (professional)Cyclingteam Jo Piels,2016-05-09,Netherlands,1.0,1994-06-23,21.0,0,0,-,48,0,CT
28,28,Bahman Golbarnezhad,Road cyclistIranian Paralympic,2016-09-17,Iran,1.0,,,,,,,,
29,29,Eslam Nasser Zaki,"Road, Track cyclist",2017-03-20,Egypt,1.0,,,,,,,,
30,92,Eslam Nasser Zaki,,,,,,,,,,,,
31,30,Mike Hall,Road endurance cyclist,2017-03-31,United Kingdom,1.0,,,,,,,,
32,31,Chad Young,Road cyclist (professional)Axeon–Hagens Berman,2017-04-28,United States,1.0,1995-06-08,21.0,0,0,-,42,0,CT
33,32,Casey Saunders,Road cyclist (professional),2017-06-25,United States,1.0,,,,,,,,
34,33,Ray Dare,Road cyclist (amateur),2017-07-19,United Kingdom,1.0,,,,,,,,
35,34,Mathieu Riebel,Road cyclist (professional)Shell Pacific team,2017-10-20,France,1.0,1997-01-02,20.0,0,4,-,3,0,
36,35,Michael Goolaerts,Road cyclist (professional)Vérandas Willems–Crelan,2018-04-08,Belgium,1.0,1994-07-24,23.0,46,158,-,208,0,PCT
37,36,Stef Loos,Road cyclist (professional)Acrog-Pauwelssauzen-Balen team,2019-03-18,Belgium,1.0,2000-02-08,19.0,0,6,-,25,0,CLUB
38,37,Robbert de Greef,Road cyclist (professional) Alecto Cycling Team,2019-04-25,Netherlands,1.0,1991-08-27,27.0,85,148,-,287,0,CT
39,38,Bjorg Lambrecht,Road cyclist (professional)Lotto–Soudal,2019-08-05,Belgium,1.0,1997-04-02,22.0,372,1518,1,210,0,WT
40,39,Suleiman Kangangi,Road / Gravel Cyclist,2022-08-27,Kenya,1.0,1988-12-09,33.0,0,71,-,226,0,CT
41,40,Gino Mäder,Road Cyclist (professional)Team Bahrain Victorious,2023-06-16,Switzerland,1.0,1997-01-04,26.0,201,1993,3,398,0,WT
42,41,Antonio Martín,Road cyclist,1994-02-11,Spain,0.0,1970-05-24,23.0,,1090,1,52,1,TT1
43,42,Néstor Mora,Road cyclist,1995-02-21,Colombia,0.0,,,,,,,,
44,43,Augusto Triana,Road cyclist,1995-02-21,Colombia,0.0,1967-06-17,27.0,,280,-,35,0,
45,44,Hernán Patiño,Road cyclist,1995-02-21,Colombia,0.0,1966-09-13,28.0,,32,1,4,1,
46,45,Anders Nilsson,Road cyclist professional,2000-06-21,Sweden,0.0,1981-05-08,28.0,0,0,-,7,0,
47,46,Ricardo Otxoa,Road cyclist professional,2001-02-15,Spain,0.0,1974-08-30,26.0,,107,-,76,0,TT1
48,47,Luke Harrop,Road cyclist professional,2002-01-13,Australia,0.0,,,,,,,,
49,48,David Martin,Road cyclist amateur,2002-11-04,United States,0.0,1998-10-10,26.0,4,7,-,11,0,
50,49,Haruko Fujinaka,Mountainbike downhiller (pro),2003-05-17,Japan,0.0,,,,,,,,
51,50,Lauri Aus,Road cyclist professional,2003-07-20,Estonia,0.0,1970-11-04,32.0,131,2219,16,367,0,TT1
52,51,Amy Gillett,Road cyclist,2005-07-18,Australia,0.0,1976-01-09,29.0,53,127,-,51,0,
53,52,Frederiek Nolf,Road cyclist,2009-02-05,Belgium,0.0,1987-02-10,21.0,0,435,-,89,0,PCT
54,53,Zinaida Stahurskaya,Road cyclist,2009-06-25,Belarus,0.0,1971-02-09,38.0,0,3161,39,212,0,UCI
55,54,Jure Robič,Road cyclist,2010-09-24,Slovenia,0.0,1965-04-10,45.0,15,60,4,4,1,
56,55,Carla Swart,Road cyclist,2011-01-19,South Africa,0.0,1987-11-26,23.0,,267,1,57,0,UCI
57,56,Carly Hibberd,Road cyclist,2011-07-06,Australia,0.0,1985-05-11,26.0,0,43,-,62,0,UCI
58,57,Victor Cabedo,Road cyclist,2012-09-19,Spain,0.0,1989-06-15,23.0,30,326,1,121,0,WT
59,58,Iñaki Lejarreta,Mountain biker,2012-12-12,Spain,0.0,1983-09-01,29.0,10,22,-,2,0,
60,59,Burry Stander,Mountain biker,2013-01-01,South Africa,0.0,1987-09-16,25.0,10,22,-,11,0,
61,60,Amy Dombroski,Cyclo-cross,2013-10-03,United States,0.0,1987-09-09,26.0,26,26,-,26,0,
62,61,Kristof Goddaert,Road cyclist,2014-10-18,Belgium,0.0,1986-11-21,27.0,0,1164,1,479,0,PCT
63,62,Claudio Clarindo,Road cyclist,2016-01-25,Brazil,0.0,,,,,,,,
64,63,Kelly McGarry,Freerider,2016-02-01,New Zealand,0.0,,,,,,,,
65,64,Ellen Watters,Road cyclist,2016-12-23,Canada,0.0,1988-04-04,28.0,,17,-,34,0,UCI
66,65,Michele Scarponi,Road cyclist,2017-04-22,Italy,0.0,1979-09-25,37.0,170,8849,21,897,1,WT
67,66,Jason Lowndes,Road cyclist,2017-12-22,Australia,0.0,1994-12-14,23.0,43,99,-,120,0,PCT
68,66,Jason Lowndes,Road cyclist,2017-12-22,Australia,0.0,1994-12-14,23.0,43,99,-,120,0,PCT
69,84,Jason Lowndes,,2017-12-22,Australia,,1994-12-14,23.0,43,99,-,120,0,PCT
70,84,Jason Lowndes,,2017-12-22,Australia,,1994-12-14,23.0,43,99,-,120,0,PCT
71,67,Alistair Eeckman,Triathlete/Duathlete,2018-08-20,United States,0.0,1994-10-07,23.0,0,0,-,4,0,
72,68,Ben Sonntag,Mountain biker,2020-03-04,United States,0.0,,,,,,,,
73,69,Jan Riedmann,Road cyclist,2020-08-02,Germany,0.0,,,,,,,,
74,70,Daniel Pedraza Castillo,Road cyclist,2021-01-25,Colombia,0.0,,,,,,,,
75,71,Gwen Inglis,Road cyclist,2021-05-16,USA,0.0,,,,,,,,
76,72,Adrián Babič,Road cyclist,2021-05-26,Slovakia,0.0,1996-11-14,24.0,0,4,-,71,0,
