,Date,Joaquim Agostinho,Connie Meijer,Fabio Casartelli,Manuel Sanroma,Saúl Morales,Nicole Reinhart,Andrey Kivilev,Alessio Galletti,Isaac Gálvez,Bruno Neves,Wouter Weylandt,Junior Heffernan,Annefleur Kalvenhaar,Antoine Demoitié,Daan Myngheer,Gijs Verdick,Bahman Golbarnezhad,Mike Hall (cyclist),Michael Goolaerts,Robbert de Greef,Bjorg Lambrecht,Suleiman Kangangi,Gino Mäder,Antonio Martín,Néstor Mora,Hernán Patiño,Ricardo Otxoa,Lauri Aus,Amy Gillett,Frederiek Nolf,Zinaida Stahurskaya,Jure Robič,Carla Swart,Carly Hibberd,Víctor Cabedo,Iñaki Lejarreta,Burry Stander,Amy Dombroski,Kristof Goddaert,Kelly McGarry,Michele Scarponi,Jason Lowndes,Desiet Kidane,Marc Demeyer,Bert Oosterbosch,Stive Vermaut,Rob Goris,Joachim Halupczok,Vicente López Carril,Lieuwe Westra,Kelly Catlin,Chris Anker Sørensen,Davide Rebellin,Patricia Pepper,Adrián Babič,Germán Chaves,Tijl De Decker,Ethan Boyes,Arturo Grávalos,Tom Simpson,Juan Manuel Santisteban,Jean-Pierre Monseré,Stan Ockers,Richard Depoorter,Francisco Cepeda (cyclist),Ottavio Bottecchia
0,2008-01-01,0,0,33,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,57,0,0,0,0,0,0
1,2008-01-02,13,0,60,6,12,24,0,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,2,10,,,,,,,64,0,8,7,0,0,17
2,2008-01-03,0,0,57,0,0,0,0,0,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,81,0,0,0,0,0,0
3,2008-01-04,21,0,41,1,3,24,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,8,,,,,,,72,0,6,8,0,0,23
4,2008-01-05,0,0,40,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,68,0,0,0,0,0,0
5,2008-01-06,18,0,42,6,13,43,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,18,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,4,6,,,,,,,79,0,13,20,0,0,21
6,2008-01-07,0,0,37,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,71,0,0,0,0,0,0
7,2008-01-08,14,0,37,4,8,37,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,6,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,3,17,,,,,,,94,0,0,8,0,0,22
8,2008-01-09,0,0,51,0,0,0,0,0,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,69,0,0,0,0,0,0
9,2008-01-10,29,0,49,5,5,21,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,15,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,10,,,,,,,83,0,3,10,0,0,13
10,2008-01-11,0,0,55,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,71,0,0,0,0,0,0
11,2008-01-12,14,0,40,3,4,17,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,33,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,5,13,,,,,,,73,0,3,4,0,0,3
12,2008-01-13,0,0,37,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,75,0,0,0,0,0,0
