,Source,Target,Viewflow_median,Viewflow_mean-median,Viewflow_log_median,Viewflow_log_mean-median,Source date,Target date,Years difference,Mean target prior views,Median target prior views
0,Bruno Neves,Joaquim Agostinho,13.0,5.0,1.1139433523068367,0.6989700043360189,2008-05-11,1984-05-10,24,8.884615384615385,3.0
1,Bruno Neves,Connie Meijer,0.0,0.14285714285714285,0.0,-0.8450980400142569,2008-05-11,1988-08-17,19,0.007692307692307693,0.0
2,Bruno Neves,Fabio Casartelli,63.0,22.0,1.7993405494535817,1.3424226808222062,2008-05-11,1995-07-18,12,51.43076923076923,48.0
3,Bruno Neves,Manuel Sanroma,3.0,2.0,0.47712125471966244,0.3010299956639812,2008-05-11,1999-06-19,8,2.423076923076923,0.0
4,Bruno Neves,Saúl Morales,4.0,3.6428571428571432,0.6020599913279624,0.5614421404196983,2008-05-11,2000-02-28,8,2.707692307692308,0.5
5,Bruno Neves,Nicole Reinhart,23.0,11.785714285714285,1.3617278360175928,1.0713559085356683,2008-05-11,2000-09-17,7,14.915384615384616,4.5
6,Bruno Neves,Andrey Kivilev,0.0,0.14285714285714285,0.0,-0.8450980400142569,2008-05-11,2003-03-12,5,0.09230769230769231,0.0
7,Bruno Neves,Alessio Galletti,0.0,0.0,0.0,0.0,2008-05-11,2005-06-15,2,0.06923076923076923,0.0
8,Bruno Neves,Isaac Gálvez,22.0,6.214285714285715,1.3424226808222062,0.7933912169403806,2008-05-11,2006-11-26,1,20.638461538461538,19.5
9,Bruno Neves,Antonio Martín,0.0,1.0,0.0,0.0,2008-05-11,1994-02-11,14,2.1076923076923078,0.0
10,Bruno Neves,Néstor Mora,2.0,1.8571428571428572,0.3010299956639812,0.26884531229257996,2008-05-11,1995-02-21,13,1.3384615384615384,0.0
11,Bruno Neves,Hernán Patiño,0.0,0.0,0.0,0.0,2008-05-11,1995-02-21,13,0.0,0.0
12,Bruno Neves,Ricardo Otxoa,0.0,0.0,0.0,0.0,2008-05-11,2001-02-15,7,0.0,0.0
13,Bruno Neves,Lauri Aus,4.0,2.857142857142857,0.6020599913279624,0.45593195564972433,2008-05-11,2003-07-20,4,4.038461538461538,1.0
14,Bruno Neves,Amy Gillett,9.0,4.285714285714286,0.9542425094393249,0.6320232147054056,2008-05-11,2005-07-18,2,7.376923076923077,2.0
15,Bruno Neves,Marc Demeyer,2.0,1.3571428571428572,0.3010299956639812,0.13262556527459096,2008-05-11,1982-01-20,26,2.8384615384615386,0.5
16,Bruno Neves,Bert Oosterbosch,0.0,0.0,0.0,0.0,2008-05-11,1989-08-18,18,0.007692307692307693,0.0
17,Bruno Neves,Stive Vermaut,0.0,0.0,0.0,0.0,2008-05-11,2004-06-30,3,0.0,0.0
18,Bruno Neves,Joachim Halupczok,0.0,0.0,0.0,0.0,2008-05-11,1994-02-05,14,0.023076923076923078,0.0
19,Bruno Neves,Vicente López Carril,0.0,1.2857142857142858,0.0,0.10914446942506809,2008-05-11,1980-03-29,28,0.7307692307692307,0.0
20,Bruno Neves,Patricia Pepper,,,,,2008-05-11,2006-07-25,1,-0.0,
21,Bruno Neves,Tom Simpson,119.0,305.64285714285717,2.075546961392531,2.485214250805695,2008-05-11,1967-07-13,40,92.29230769230769,90.5
22,Bruno Neves,Juan Manuel Santisteban,0.0,0.0,0.0,0.0,2008-05-11,1976-05-21,31,0.0,0.0
23,Bruno Neves,Jean-Pierre Monseré,5.0,3.4285714285714284,0.6989700043360189,0.5351132016973491,2008-05-11,1971-03-15,37,3.3384615384615386,0.0
24,Bruno Neves,Stan Ockers,4.0,3.2857142857142856,0.6020599913279624,0.516629796003336,2008-05-11,1956-10-01,51,4.792307692307692,1.0
25,Bruno Neves,Richard Depoorter,0.0,0.0,0.0,0.0,2008-05-11,1948-06-16,59,0.0,0.0
26,Bruno Neves,Francisco Cepeda,0.0,0.0,0.0,0.0,2008-05-11,1935-07-14,72,0.0,0.0
27,Bruno Neves,Ottavio Bottecchia,18.0,12.642857142857142,1.255272505103306,1.1018452306835687,2008-05-11,1927-06-15,80,9.384615384615385,1.5
28,Wouter Weylandt,Joaquim Agostinho,11.0,8.285714285714286,1.041392685158225,0.9183299535486805,2011-05-09,1984-05-10,26,8.802943581357319,0.0
29,Wouter Weylandt,Connie Meijer,0.0,0.14285714285714285,0.0,-0.8450980400142569,2011-05-09,1988-08-17,22,0.08994276369582993,0.0
30,Wouter Weylandt,Fabio Casartelli,848.0,2392.1428571428573,2.9283958522567137,3.378787111861629,2011-05-09,1995-07-18,15,141.24611610793133,72.0
31,Wouter Weylandt,Manuel Sanroma,4.0,2.857142857142857,0.6020599913279624,0.45593195564972433,2011-05-09,1999-06-19,11,2.7375306623058053,0.0
32,Wouter Weylandt,Saúl Morales,4.0,3.2857142857142856,0.6020599913279624,0.516629796003336,2011-05-09,2000-02-28,11,2.900245298446443,0.0
33,Wouter Weylandt,Nicole Reinhart,10.0,10.0,1.0,1.0,2011-05-09,2000-09-17,10,12.702371218315617,0.0
34,Wouter Weylandt,Andrey Kivilev,0.0,0.7142857142857143,0.0,-0.146128035678238,2011-05-09,2003-03-12,8,0.2698282910874898,0.0
35,Wouter Weylandt,Alessio Galletti,1.0,0.8571428571428571,0.0,-0.06694678963061322,2011-05-09,2005-06-15,5,0.25020441537203597,0.0
36,Wouter Weylandt,Isaac Gálvez,248.0,458.42857142857144,2.3944516808262164,2.6612716770812472,2011-05-09,2006-11-26,4,30.331152902698282,18.0
37,Wouter Weylandt,Bruno Neves,6.0,6.571428571428571,0.7781512503836436,0.8176597916673172,2011-05-09,2008-05-11,2,9.201962387571545,0.0
38,Wouter Weylandt,Antonio Martín,2.0,3.5714285714285716,0.3010299956639812,0.5528419686577808,2011-05-09,1994-02-11,17,2.490596892886345,0.0
39,Wouter Weylandt,Néstor Mora,1.0,2.4285714285714284,0.0,0.3853508813640171,2011-05-09,1995-02-21,16,1.5077677841373671,0.0
40,Wouter Weylandt,Hernán Patiño,1.0,1.7142857142857142,0.0,0.23408320603336794,2011-05-09,1995-02-21,16,0.4382665576451349,0.0
41,Wouter Weylandt,Ricardo Otxoa,0.0,0.0,0.0,0.0,2011-05-09,2001-02-15,10,0.0,0.0
42,Wouter Weylandt,Lauri Aus,1.0,2.4285714285714284,0.0,0.3853508813640171,2011-05-09,2003-07-20,7,3.875715453802126,0.0
43,Wouter Weylandt,Amy Gillett,7.0,5.571428571428571,0.8450980400142568,0.7459665670122424,2011-05-09,2005-07-18,5,8.013082583810302,0.0
44,Wouter Weylandt,Frederiek Nolf,0.0,1.4285714285714286,0.0,0.15490195998574316,2011-05-09,2009-02-05,2,2.5363859362224037,0.0
45,Wouter Weylandt,Zinaida Stahurskaya,0.0,0.2857142857142857,0.0,-0.5440680443502757,2011-05-09,2009-06-25,1,0.04006541291905151,0.0
46,Wouter Weylandt,Jure Robič,68.0,51.57142857142857,1.8325089127062364,1.712409161891401,2011-05-09,2010-09-24,0,36.604251839738346,16.0
47,Wouter Weylandt,Carla Swart,23.0,18.142857142857142,1.3617278360175928,1.2587056809417,2011-05-09,2011-01-19,0,2.0400654129190516,0.0
48,Wouter Weylandt,Marc Demeyer,6.0,5.857142857142857,0.7781512503836436,0.7676858167054786,2011-05-09,1982-01-20,29,3.844644317252657,0.0
