Date,"Patricia Pepper","Adrián Babič","Germán Chaves","Tijl De Decker","Kelly Catlin","Lieuwe Westra","Vicente López Carril","Chris Anker Sørensen","Ethan Boyes","Arturo Grávalos"
2015-07-01,0,0,0,0,0,78,0,22,0,0
2015-07-02,0,0,0,0,0,104,6,36,0,0
2015-07-03,0,0,0,0,0,129,0,32,0,0
2015-07-04,0,0,0,0,0,144,2,44,0,0
2015-07-05,0,0,0,0,0,79,1,37,0,0
2015-07-06,0,0,0,0,0,98,0,42,0,0
2015-07-07,0,0,0,0,0,332,5,48,0,0
2015-07-08,0,0,0,0,0,66,2,47,0,0
2015-07-09,0,0,0,0,0,84,7,46,0,0
2015-07-10,0,0,0,0,0,49,6,55,0,0
2015-07-11,0,0,0,0,0,63,6,47,0,0
2015-07-12,0,0,0,0,0,68,2,44,0,0
2015-07-13,0,0,0,0,0,54,6,36,0,0
2015-07-14,0,0,0,0,0,56,1,162,0,0
2015-07-15,0,0,0,0,0,73,4,87,0,0
2015-07-16,0,0,0,0,0,130,5,113,0,0
2015-07-17,0,0,0,0,0,48,5,45,0,0
2015-07-18,0,0,0,0,0,58,1,41,0,0
2015-07-19,0,0,0,0,0,39,6,55,0,0
2015-07-20,0,0,0,0,0,38,4,88,0,0
2015-07-21,0,0,0,0,0,17,3,74,0,0
2015-07-22,0,0,0,0,0,32,5,59,0,0
2015-07-23,0,0,0,0,0,29,2,101,0,0
2015-07-24,0,0,0,0,0,40,5,84,0,0
2015-07-25,0,0,0,0,0,33,8,56,0,0
2015-07-26,0,0,0,0,0,49,3,93,0,0
2015-07-27,0,0,0,0,0,42,4,44,0,0
2015-07-28,0,0,0,0,0,26,5,23,0,0
2015-07-29,0,0,0,0,0,8,5,21,0,0
2015-07-30,0,0,0,0,0,11,7,20,0,0
2015-07-31,0,0,0,0,0,12,2,16,0,0
2015-08-01,0,0,0,0,0,6,5,13,0,0
2015-08-02,0,0,0,0,0,13,4,17,0,0
2015-08-03,0,0,0,0,0,8,4,18,0,0
2015-08-04,0,0,0,0,0,20,10,27,0,0
2015-08-05,0,0,0,0,0,5,2,22,0,0
2015-08-06,0,0,0,0,0,8,3,28,0,0
2015-08-07,0,0,0,0,0,13,8,42,0,0
2015-08-08,0,0,0,0,0,15,5,25,0,0
2015-08-09,0,0,0,0,0,11,3,22,0,0
2015-08-10,0,0,0,0,0,8,2,19,0,0
2015-08-11,0,0,0,0,0,11,1,12,0,0
2015-08-12,0,0,0,0,0,10,1,16,0,0
2015-08-13,0,0,0,0,0,12,2,14,0,0
2015-08-14,0,0,0,0,0,9,1,4,0,0
2015-08-15,0,0,0,0,0,8,3,11,0,0
2015-08-16,0,0,0,0,0,16,3,22,0,0
2015-08-17,0,0,0,0,0,3,3,26,0,0
2015-08-18,0,0,0,0,0,8,1,31,0,0
2015-08-19,0,0,0,0,0,8,1,26,0,0
2015-08-20,0,0,0,0,0,4,1,24,0,0
2015-08-21,0,0,0,0,0,13,1,20,0,0
2015-08-22,0,0,0,0,0,5,1,18,0,0
2015-08-23,0,0,0,0,0,6,2,42,0,0
2015-08-24,0,0,0,0,0,8,1,31,0,0
2015-08-25,0,0,0,0,0,8,4,20,0,0
2015-08-26,0,0,0,0,0,4,4,21,0,0
2015-08-27,0,0,0,0,0,13,1,10,0,0
2015-08-28,0,0,0,0,0,9,2,14,0,0
2015-08-29,0,0,0,0,0,10,2,17,0,0
2015-08-30,0,0,0,0,0,4,5,16,0,0
2015-08-31,0,0,0,0,0,10,2,12,0,0
2015-09-01,0,0,0,0,0,8,1,14,0,0
2015-09-02,0,0,0,0,0,8,1,12,0,0
2015-09-03,0,0,0,0,0,15,2,18,0,0
2015-09-04,0,0,0,0,0,8,1,34,0,0
2015-09-05,0,0,0,0,0,6,5,41,0,0
2015-09-06,0,0,0,0,0,7,1,28,0,0
2015-09-07,0,0,0,0,0,14,2,16,0,0
2015-09-08,0,0,0,0,0,24,7,27,0,0
2015-09-09,0,0,0,0,0,14,4,28,0,0
2015-09-10,0,0,0,0,0,11,0,27,0,0
2015-09-11,0,0,0,0,0,12,3,31,0,0
2015-09-12,0,0,0,0,0,13,0,19,0,0
2015-09-13,0,0,0,0,0,10,1,28,0,0
2015-09-14,0,0,0,0,0,16,0,20,0,0
2015-09-15,0,0,0,0,0,12,0,12,0,0
2015-09-16,0,0,0,0,0,10,0,20,0,0
2015-09-17,0,0,0,0,0,4,4,58,0,0
2015-09-18,0,0,0,0,0,6,0,31,0,0
2015-09-19,0,0,0,0,0,7,1,13,0,0
2015-09-20,0,0,0,0,0,8,3,12,0,0
2015-09-21,0,0,0,0,0,12,0,16,0,0
2015-09-22,0,0,0,0,0,12,2,7,0,0
2015-09-23,0,0,0,0,0,11,2,9,0,0
2015-09-24,0,0,0,0,0,9,0,12,0,0
2015-09-25,0,0,0,0,0,11,0,8,0,0
2015-09-26,0,0,0,0,0,6,1,9,0,0
2015-09-27,0,0,0,0,0,9,1,17,0,0
2015-09-28,0,0,0,0,0,7,2,9,0,0
2015-09-29,0,0,0,0,0,11,1,5,0,0
2015-09-30,0,0,0,0,0,4,0,8,0,0
2015-10-01,0,0,0,0,0,5,0,16,0,0
2015-10-02,0,0,0,0,0,14,1,10,0,0
2015-10-03,0,0,0,0,0,7,0,9,0,0
2015-10-04,0,0,0,0,0,3,3,14,0,0
2015-10-05,0,0,0,0,0,5,0,12,0,0
2015-10-06,0,0,0,0,0,16,6,19,0,0
2015-10-07,0,0,0,0,0,8,3,25,0,0
2015-10-08,0,0,0,0,0,5,0,10,0,0
2015-10-09,0,0,0,0,0,10,1,11,0,0
2015-10-10,0,0,0,0,0,13,1,9,0,0
2015-10-11,0,0,0,0,0,9,0,6,0,0
2015-10-12,0,0,0,0,0,9,1,12,0,0
2015-10-13,0,0,0,0,0,8,3,2,0,0
2015-10-14,0,0,0,0,0,7,0,10,0,0
2015-10-15,0,0,0,0,0,4,1,16,0,0
2015-10-16,0,0,0,0,0,5,3,7,0,0
2015-10-17,0,0,0,0,0,4,0,9,0,0
2015-10-18,0,0,0,0,0,4,2,4,0,0
2015-10-19,0,0,0,0,0,7,1,10,0,0
2015-10-20,0,0,0,0,0,4,3,22,0,0
2015-10-21,0,0,0,0,0,16,4,8,0,0
2015-10-22,0,0,0,0,0,7,3,12,0,0
2015-10-23,0,0,0,0,0,4,1,12,0,0
2015-10-24,0,0,0,0,0,2,0,4,0,0
2015-10-25,0,0,0,0,0,3,0,7,0,0
2015-10-26,0,0,0,0,0,3,1,10,0,0
2015-10-27,0,0,0,0,0,3,2,13,0,0
2015-10-28,0,0,0,0,0,2,2,7,0,0
2015-10-29,0,0,0,0,0,4,2,4,0,0
2015-10-30,0,0,0,0,0,4,4,16,0,0
2015-10-31,0,0,0,0,0,2,3,1,0,0
2015-11-01,0,0,0,0,0,4,1,6,0,0
2015-11-02,0,0,0,0,0,7,0,11,0,0
2015-11-03,0,0,0,0,0,0,0,11,0,0
2015-11-04,0,0,0,0,0,3,4,10,0,0
2015-11-05,0,0,0,0,0,2,0,10,0,0
2015-11-06,0,0,0,0,0,5,1,9,0,0
2015-11-07,0,0,0,0,0,4,1,12,0,0
2015-11-08,0,0,0,0,0,3,2,5,0,0
2015-11-09,0,0,0,0,0,7,0,5,0,0
2015-11-10,0,0,0,0,0,6,2,8,0,0
2015-11-11,0,0,0,0,0,2,0,12,0,0
2015-11-12,0,0,0,0,0,2,4,8,0,0
2015-11-13,0,0,0,0,0,3,1,7,0,0
2015-11-14,0,0,0,0,0,3,2,6,0,0
2015-11-15,0,0,0,0,0,8,2,9,0,0
2015-11-16,0,0,0,0,0,0,1,7,0,0
2015-11-17,0,0,0,0,0,4,0,2,0,0
2015-11-18,0,0,0,0,0,5,0,7,0,0
2015-11-19,0,0,0,0,0,1,3,8,0,0
2015-11-20,0,0,0,0,0,9,0,11,0,0
2015-11-21,0,0,0,0,0,4,1,6,0,0
2015-11-22,0,0,0,0,0,5,1,9,0,0
2015-11-23,0,0,0,0,0,2,1,2,0,0
2015-11-24,0,0,0,0,0,4,1,7,0,0
2015-11-25,0,0,0,0,0,3,0,7,0,0
2015-11-26,0,0,0,0,0,4,0,8,0,0
2015-11-27,0,0,0,0,0,4,0,12,0,0
