"DateTime","Joaquim Agostinho[en]","Connie Meijer[en]","Fabio Casartelli[en]","Manuel Sanroma[en]","Saúl Morales[en]","Nicole Reinhart[en]","Andrey Kivilev[en]","Alessio Galletti[en]","Isaac Gálvez[en]","Bruno Neves[en]","Wouter Weylandt[en]","Junior Heffernan[en]","Annefleur Kalvenhaar[en]","Antoine Demoitié[en]","Daan Myngheer[en]","Gijs Verdick[en]","Bahman Golbarnezhad[en]","Mike Hall (cyclist)[en]","Michael Goolaerts[en]","Robbert de Greef[en]","Bjorg Lambrecht[en]","Suleiman Kangangi[en]","Gino Mäder[en]","Antonio Martín[en]","Néstor Mora[en]","Hernán Patiño[en]","Ricardo Otxoa[en]","Lauri Aus[en]","Amy Gillett[en]","Frederiek Nolf[en]","Zinaida Stahurskaya[en]","Jure Robič[en]","Carla Swart[en]","Carly Hibberd[en]","Víctor Cabedo[en]","Iñaki Lejarreta[en]","Burry Stander[en]","Amy Dombroski[en]","Kristof Goddaert[en]","Kelly McGarry[en]","Michele Scarponi[en]","Jason Lowndes[en]","Desiet Kidane[en]"
"2008-01-01 00:00:00",0,0,33,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"2008-01-02 00:00:00",13,0,60,6,12,24,0,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2008-01-03 00:00:00",0,0,57,0,0,0,0,0,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2008-01-04 00:00:00",21,0,41,1,3,24,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2008-01-05 00:00:00",0,0,40,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"2008-01-06 00:00:00",18,0,42,6,13,43,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,18,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"2008-01-07 00:00:00",0,0,37,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"2008-01-08 00:00:00",14,0,37,4,8,37,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,6,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"2008-01-09 00:00:00",0,0,51,0,0,0,0,0,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2008-01-10 00:00:00",29,0,49,5,5,21,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,15,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"2008-01-11 00:00:00",0,0,55,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"2008-01-12 00:00:00",14,0,40,3,4,17,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,33,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"2008-01-13 00:00:00",0,0,37,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"2008-01-14 00:00:00",8,0,45,3,4,21,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12,23,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2008-01-15 00:00:00",0,0,52,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"2008-01-16 00:00:00",15,0,60,5,6,36,0,0,42,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,6,15,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"2008-01-17 00:00:00",0,0,52,0,0,0,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"2008-01-18 00:00:00",16,0,66,4,3,33,0,0,33,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,10,21,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"2008-01-19 00:00:00",0,0,41,0,0,0,0,0,30,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"2008-01-20 00:00:00",15,0,61,3,4,32,0,0,33,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2008-01-21 00:00:00",0,0,60,0,0,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"2008-01-22 00:00:00",13,0,60,5,9,38,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,10,13,0,0,7,0,0,0,0,0,0,0,0,0,0,0
