pid,topic,month,human_label_pre1,human_reason_pre1,human_label_post1,human_reason_post1
109494224313408,kgs,ms,for,no reason,for,no reason
109503497273364,kgs,ms,for,no reason,for,no reason
109494948657780,kgs,ms,for,against child poverty,for,against child poverty
328830501348,kgs,fj,for,better opportunities,for,better opportunities
302066194896,kgs,fj,agree but has problems,"vouchers, money used for children",agree but has problems,"vouchers, money used for children"
288351171360,kgs,fj,other,no reason,other,no reason
332724581064,kgs,fj,for,"better education, equality",for,"better education, equality"
109491194771388,kgs,ms,for,"against child poverty, opportunities",for,"against child poverty, opportunities"
109503546022044,kgs,ms,has problems,"used for school, used for children",has problems,"used for school, used for children"
109490650126812,kgs,ms,other,hates children,other,hates children
297208015128,kgs,fj,for,against child poverty,for,against child poverty
109501634889792,kgs,ms,for,"everything is more expensive, less burocracy good",for,"everything is more expensive, less burocracy good"
109493614149840,kgs,ms,for,benefits must increase,for,benefits must increase
109498702263048,kgs,ms,agree but has problems,used for children,agree but has problems,used for children
109501294710600,kgs,ms,agree but has problems,used for children,agree but has problems,used for children
109490487541380,kgs,ms,for,against child poverty,for,against child poverty
109497334618044,kgs,ms,has problems,used for schools,has problems,used for schools
331035031296,kgs,fj,for,against child poverty,for,against child poverty
290292160896,kgs,fj,for,poor people get more good,for,poor people get more good
109503071943012,kgs,ms,for,less burocracy good,for,less burocracy good
282707829360,kgs,fj,for,no reason,for,no reason
109491066593208,kgs,ms,for,good for development,for,good for development
109500614001324,kgs,ms,has problems,"lazy, immigrants",has problems,"lazy, immigrants"
335869337412,kgs,fj,for,no reason,for,no reason
288199733760,kgs,fj,for,children are future,for,children are future
303348214044,kgs,fj,other,no need for change,other,no need for change
292134583980,kgs,fj,for,equalization,for,equalization
109489321689372,kgs,ms,for,opportunities,for,opportunities
331066087632,kgs,fj,for,"equality, opportunities",for,"equality, opportunities"
340644762756,kgs,fj,for,protect children,for,protect children
109495868607000,kgs,ms,for,financial relief,for,financial relief
280442421360,kgs,fj,for,opportunities,for,opportunities
274880751012,kgs,fj,for,should depend on income,for,should depend on income
109490126285412,kgs,ms,has problems,those who don't need it get it,has problems,those who don't need it get it
312089803128,kgs,fj,agree but has problems,used for children,agree but has problems,used for children
109502260279200,kgs,ms,agree but has problems,"used for children, used for schools",agree but has problems,"used for children, used for schools"
109490419849320,kgs,ms,agree but has problems,used for children,agree but has problems,used for children
336365716212,kgs,fj,for,equalization,for,equalization
322305278148,kgs,fj,against,parents' responsibility,against,parents' responsibility
109489322607984,kgs,ms,has problems,"used for children, used for schools",has problems,"used for children, used for schools"
109492446917520,kgs,ms,agree but has problems,used for children,agree but has problems,used for children
337486379760,kgs,fj,for,confused,for,confused
109489229092872,kgs,ms,agree but has problems,"vouchers, used for children",agree but has problems,"vouchers, used for children"
308492647812,kgs,fj,for,no reason,for,no reason
338424079464,kgs,fj,for,no reason,for,no reason
332796813516,kgs,fj,other,no reason,other,no reason
109498671043236,kgs,ms,against,no reason,against,no reason
109491559400160,kgs,ms,for,security,for,security
276321326148,kgs,fj,no opinion,no opinion,no opinion,no opinion
109489753369296,kgs,ms,for,important,for,important
109503975808656,kgs,ms,no opinion,no opinion,no opinion,no opinion
294976742148,kgs,fj,for,no reason,for,no reason
325705305348,kgs,fj,for,no reason,for,no reason
281709125064,kgs,fj,for,children are future,for,children are future
109492842746268,kgs,ms,for,"children are future, against child poverty",for,"children are future, against child poverty"
109488989926116,kgs,ms,for,security,for,security
303623665632,kgs,fj,for,no reason,for,no reason
109491700542192,kgs,ms,for,"good life, children are future",for,"good life, children are future"
285771606948,kgs,fj,no opinion,no opinion,no opinion,no opinion
340640530164,kgs,fj,has problems,money used for children,has problems,money used for children
109489275467388,kgs,ms,has problems,"used for children, used for schools",has problems,"used for children, used for schools"
340644169728,kgs,fj,nonsense,nonsense,nonsense,nonsense
305806785012,kgs,fj,for,security,for,security
109490073017544,kgs,ms,no opinion,no opinion,no opinion,no opinion
292380889644,kgs,fj,for,no reason,for,no reason
317092376664,kgs,fj,no opinion,no opinion,no opinion,no opinion
109489960176012,kgs,ms,agree but has problems,wrong incentives,agree but has problems,wrong incentives
284732130096,kgs,fj,agree but has problems,could be improved,agree but has problems,could be improved
109497765254868,kgs,ms,for,important,for,important
109497506494932,kgs,ms,for,support,for,support
296485300044,kgs,fj,for,equalization,for,equalization
294983786664,kgs,fj,agree but has problems,used for children,agree but has problems,used for children
109492480256364,kgs,ms,for,necessary,for,necessary
109498092295788,kgs,ms,no opinion,government doesn't care about my opinion,no opinion,government doesn't care about my opinion
305854117128,kgs,fj,no opinion,no opinion,no opinion,no opinion
283129720560,kgs,fj,no opinion,no opinion,no opinion,no opinion
109489424013036,kgs,ms,for,less burocracy,for,less burocracy
109490486861484,kgs,ms,has problems,not enough money,has problems,not enough money
294409706148,kgs,fj,for,everything more expensive,for,everything more expensive
303481936728,kgs,fj,for,should benefit children,for,should benefit children
304323598044,kgs,fj,agree but has problems,money used for children,agree but has problems,money used for children
